Parameter Name,Value,Units
T&M Step 38 Zone,Good Zone 19,
T&M Step 39 Action,CUT,
T&M Step 39 Length,0.82,km
T&M Step 40 Action,SAVE,
T&M Step 40 Length,0.02,km
T&M Step 40 Zone,Good Zone 20,
T&M Step 41 Action,CUT,
T&M Step 41 Length,0.88,km
T&M Step 42 Action,SAVE,
T&M Step 42 Length,0.01,km
T&M Step 42 Zone,Good Zone 21,
Total Saved Length,1.56,km
Total Cut Length,9.46,km
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
